Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	8q24.11
AARS	alanyl-tRNA synthetase			16q22.1
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1	6p21.1
AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744	17q21.31
AARSP1	alanyl-tRNA synthetase pseudogene 1			4q28.3
AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4	4q12
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT	11q22
AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH	7q31.3
AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2	17q12
AATK	apoptosis-associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3
AATK-AS1	AATK antisense RNA 1			17q25.3
AAVS1	adeno-associated virus integration site 1		AAV	19q13
AA~withdrawn	symbol withdrawn, see TEAD1			
ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS	20q11.21
ABAT	4-aminobutyrate aminotransferase		GABAT	16p13.2
ABC1~withdrawn	symbol withdrawn, see ABCA1			
ABC2~withdrawn	symbol withdrawn, see ABCA2			
ABC3~withdrawn	symbol withdrawn, see ABCA3			
ABC7~withdrawn	symbol withdrawn, see ABCB7			
ABC50~withdrawn	symbol withdrawn, see ABCF1			
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	ABC1, HDLDT1	TGD	9q31
ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	ABC2		9q34
ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	ABC3	ABC-C, EST111653, LBM180	16p13.3
ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22
ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5		EST90625	17q24.3
ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6		EST155051	17q21
ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7		ABCX	19p13.3
ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8		KIAA0822	17q24
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9		EST640918	17q24
ABCA9-AS1	ABCA9 antisense RNA 1			17q24.2
ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10		EST698739	17q24
ABCA11P	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	ABCA11	EST1133530, FLJ14297	4p16.3
ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	ICR2B	DKFZP434G232, LI2	2q34
ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13		FLJ33876, FLJ33951	7p12.3
ABCA17P	ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene			16p13.3
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12
ABCB2~withdrawn	symbol withdrawn, see TAP1			
ABCB3~withdrawn	symbol withdrawn, see TAP2			
ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21
ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5		EST422562, ABCB5beta, ABCB5alpha	7p14
ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)		EST45597, umat, MTABC3	2q36
ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	ABC7	EST140535, Atm1p, ASAT	Xq13.3
ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8		EST328128, M-ABC1, MABC1	7q36.1
ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9		EST122234	12q24
ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10		EST20237, M-ABC2, MTABC2	1q32
ABCB10P1	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2
ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1			
ABCB10P3	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3			15q13.1
ABCB10P4	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4			15q13.1
ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q24
ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	MRP, MRP1	GS-X	16p13.1
ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	CMOAT	DJS, MRP2, cMRP	10q24
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21
ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4		MRP4, EST170205, MOAT-B, MOATB	13q31
ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5		MRP5, SMRP, EST277145, MOAT-C	3q27
ABCC5-AS1	ABCC5 antisense RNA 1			3q27.1
ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11
ABCC6P1	ATP-binding cassette, sub-family C, member 6 pseudogene 1 (functional)			16p12.3
ABCC6P2	ATP-binding cassette, sub-family C, member 6 pseudogene 2			16p13.11
ABCC7~withdrawn	symbol withdrawn, see CFTR			
ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1
ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9		SUR2, CMD1O	12p12.1
ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10		EST182763, MRP7, SIMRP7	6p12.3
ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11		MRP8	16q12
ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12		MRP9	16q12.1
ABCC13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene		PRED6, C21orf73	21q11.2
ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28
ABCD1P1	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1			2p11
ABCD1P2	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2		bA453N3.6	10p11.1
ABCD1P3	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3			16p11.2
ABCD1P4	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4			22q11.1
ABCD1P5	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5			2p11.1
ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	ALDL1	ALDR, ALDRP	12q12
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	PXMP1	PMP70, ZWS2	1p21.3
ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	PXMP1L	PMP69, P70R, EST352188	14q24
ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP	4q31
ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	ABC50	EST123147	6p21.33
ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1
ABCF2P1	ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 1			3p11.1
ABCF2P2	ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2			7q11.22
ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3		EST201864	3q27.1
ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1		ABC8	21q22.3
ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)		EST157481, MXR, BCRP, ABCP, CD338	4q22.1
ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4		WHITE2	11q23
ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5		STSL	2p21
ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8		GBD4	2p21
ABCR~withdrawn	symbol withdrawn, see ABCA4			
ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128	2p23.3
ABHD2	abhydrolase domain containing 2		LABH2	15q26.1
ABHD3	abhydrolase domain containing 3		LABH3	18q11.1
ABHD4	abhydrolase domain containing 4		FLJ12816	14q11.1
ABHD5	abhydrolase domain containing 5		CGI-58, NCIE2	3p21.33
ABHD6	abhydrolase domain containing 6			3p21.2
ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512	19p13.12
ABHD10	abhydrolase domain containing 10		FLJ11342	3q13.2
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	7q11.23
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	WBSCR26, LINC00035	NCRNA00035	7q11.23
ABHD11-AS2~withdrawn	entry withdrawn			
ABHD12	abhydrolase domain containing 12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	14q21.3
ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.2
ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1	3p21.1
ABHD14A-ACY1	ABHD14A-ACY1 readthrough (NMD candidate)			3p21.2
ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB	3p21.2
ABHD15	abhydrolase domain containing 15			17q11.2
ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13	17q11.2
ABHD16A	abhydrolase domain containing 16A	BAT5	NG26, D6S82E	6p21.3
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1	20q13.33
ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	MGC5244	19p13.3
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2
ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1			
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	FAM108A4, FAM108A4P		1q41
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	FAM108A5, FAM108A5P		22q11.21
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	FAM108A6, FAM108A6P		22q11.22
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P		17p11.2
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P		16p11.2
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P		16p11.2
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P		16p11.1
ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	CGI-67	9q21.2
ABHD17C	abhydrolase domain containing 17C	FAM108C1		15q25.1
ABI1	abl-interactor 1	SSH3BP1	E3B1, ABI-1	10p12.1
ABI1P1	abl-interactor 1 pseudogene 1	SSH3BP1P, ABI1P		14q22
ABI2	abl-interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33
ABI3	ABI family, member 3		NESH, SSH3BP3	17q21.3
ABI3BP	ABI family, member 3 (NESH) binding protein		NESHBP, DKFZP586L2024, TARSH	3q12.2
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150	9q34.1
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	1q25.2
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin	10q25
ABLIM2	actin binding LIM protein family, member 2		KIAA1808	4p16.1
ABLIM3	actin binding LIM protein family, member 3		KIAA0843	5q33.1
ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		A3GALNT, A3GALT1	9q34.2
ABR	active BCR-related		MDB	17p13
ABRA	actin-binding Rho activating protein		STARS	8q23.1
ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars	6q24.1
ABT1	activator of basal transcription 1			6p21.31
ABT1P1	activator of basal transcription 1 pseudogene 1			4q23
ABTB1	ankyrin repeat and BTB (POZ) domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21	3q21
ABTB2	ankyrin repeat and BTB (POZ) domain containing 2		DKFZP586C1619, BTBD22, ABTB2A	11p13
ACAA1	acetyl-CoA acyltransferase 1			3p22.2
ACAA2	acetyl-CoA acyltransferase 2		DSAEC	18q21
ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1	17q21
ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB	12q24.1
ACAD8	acyl-CoA dehydrogenase family, member 8			11q25
ACAD9	acyl-CoA dehydrogenase family, member 9		NPD002, MGC14452	3q21.3
ACAD10	acyl-CoA dehydrogenase family, member 10		MGC5601	12q24.12
ACAD11	acyl-CoA dehydrogenase family, member 11		FLJ12592	3q22.1
ACADL	acyl-CoA dehydrogenase, long chain		LCAD, ACAD4	2q34
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain		MCAD, MCADH, ACAD1	1p31
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain		SCAD, ACAD3	12q24.31
ACADSB	acyl-CoA dehydrogenase, short/branched chain		SBCAD, ACAD7	10q25-q26
ACADVL	acyl-CoA dehydrogenase, very long chain		VLCAD, LCACD, ACAD6	17p13.1
ACAD~withdrawn	entry withdrawn			
ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP	15q26.1
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050	17p13.1
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2	3q29
ACAP2-IT1	ACAP2 intronic transcript 1 (non-protein coding)			3q29
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716	1p36
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	11q22.3
ACAT2	acetyl-CoA acetyltransferase 2			6q25.3
ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7	1q41
ACBD4	acyl-CoA binding domain containing 4		FLJ13322	17q21.31
ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996	10p12.1
ACBD6	acyl-CoA binding domain containing 6		MGC2404	1q25.1
ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2	10p13
ACBP~withdrawn	symbol withdrawn, see CPN2			
ACCN~withdrawn	symbol withdrawn, see ASIC2			
ACCPN~withdrawn	symbol withdrawn, see SLC12A6			
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)		PHACS, ACS	11p11
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like			11p11.2
ACC~withdrawn	symbol withdrawn, see ACACA			
ACD	adrenocortical dysplasia homolog (mouse)		Ptop, Pip1, Tpp1, Tint1	16q22
ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143	17q23.3
ACE2	angiotensin I converting enzyme 2			Xp22
ACE3P	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene			17q23.3
ACER1	alkaline ceramidase 1	ASAH3		19p13.3
ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587	9p21.3
ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC	11q13.5
ACHAP~withdrawn	symbol withdrawn, see CUTA			
ACHE	acetylcholinesterase (Yt blood group)	YT		7q22
ACHM1~withdrawn	symbol withdrawn, see CNGB3			
ACHM2~withdrawn	symbol withdrawn, see CNGA3			
ACHM3~withdrawn	symbol withdrawn, see CNGB3			
ACHRD~withdrawn	symbol withdrawn, see CHRND			
ACHRG~withdrawn	symbol withdrawn, see CHRNG			
ACH~withdrawn	symbol withdrawn, see FGFR3			
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152	14q11.2
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234	1q21-q22
ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9	3p21.3
ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159	2q37.3
ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22
ACLS	acrocallosal syndrome			12p13.3-p11.2
ACLY	ATP citrate lyase		ATPCL, CLATP, ACL	17q21.2
ACMG~withdrawn	entry withdrawn			
ACMSD	aminocarboxymuconate semialdehyde decarboxylase			2q21.3
ACN9	ACN9 homolog (S. cerevisiae)		DC11	7q22.1
ACO1	aconitase 1, soluble	IREB1	IRP1, IREBP	9p21.1
ACO2	aconitase 2, mitochondrial		ACONM	22q13.2
ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2	14q24.3
ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128	14q24.3
ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B	14q24.1
ACOT6	acyl-CoA thioesterase 6	C14orf42		14q24.3
ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36
ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2	20q13.12
ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2	Xp22.11
ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3
ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15	5q14.1
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012	6p22.1
ACOX1	acyl-CoA oxidase 1, palmitoyl		PALMCOX	17q25.1
ACOX2	acyl-CoA oxidase 2, branched chain		BRCACOX, BRCOX, THCCox	3p14.3
ACOX3	acyl-CoA oxidase 3, pristanoyl			4p15.3
ACOXL	acyl-CoA oxidase-like		FLJ11042	2q13
ACP1	acid phosphatase 1, soluble			2p25
ACP2	acid phosphatase 2, lysosomal			11p11.2
ACP5	acid phosphatase 5, tartrate resistant		TRAP	19p13.2
ACP6	acid phosphatase 6, lysophosphatidic		LPAP, ACPL1	1q21
ACPP	acid phosphatase, prostate		ACP3, ACP-3	3q22.1
ACPT	acid phosphatase, testicular			19q13.33
ACR	acrosin			22q13.33
ACRBP	acrosin binding protein		SP32, OY-TES-1, CT23	12p13.31
ACRC	acidic repeat containing			Xq13.1
ACRV1	acrosomal vesicle protein 1		SPACA2, SP-10, D11S4365	11q24.2
ACS3~withdrawn	symbol withdrawn, see TWIST1			
ACSBG1	acyl-CoA synthetase bubblegum family member 1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	15q23-q24
ACSBG2	acyl-CoA synthetase bubblegum family member 2		BGR, PRTD-NY3, DKFZp434K1635	19p13.3
ACSF2	acyl-CoA synthetase family member 2		FLJ20920, ACSMW	17q21.33
ACSF3	acyl-CoA synthetase family member 3			16q24.3
ACSL1	acyl-CoA synthetase long-chain family member 1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	4q35.1
ACSL3	acyl-CoA synthetase long-chain family member 3	FACL3	ACS3, PRO2194	2q34-q35
ACSL4	acyl-CoA synthetase long-chain family member 4	FACL4, MRX63, MRX68	ACS4, LACS4	Xq22.3-q23
ACSL5	acyl-CoA synthetase long-chain family member 5	FACL5	ACS5, ACS2	10q25.1-q25.2
ACSL6	acyl-CoA synthetase long-chain family member 6	FACL6	KIAA0837, ACS2, LACS5, LACS2	5q31
ACSM1	acyl-CoA synthetase medium-chain family member 1	BUCS1	MACS1	16p12.3
ACSM2A	acyl-CoA synthetase medium-chain family member 2A	ACSM2	A-923A4.1, MGC150530	16p12.3
ACSM2B	acyl-CoA synthetase medium-chain family member 2B	ACSM2	HXMA, HYST1046	16p12.3
ACSM3	acyl-CoA synthetase medium-chain family member 3	SAH	SA	16p13.11
ACSM4	acyl-CoA synthetase medium-chain family member 4			12p13.31
ACSM5	acyl-CoA synthetase medium-chain family member 5		FLJ20581	16p12.3
ACSM5P1	acyl-CoA synthetase medium-chain family member 5 pseudogene 1			16p12.3
ACSM6	acyl-CoA synthetase medium-chain family member 6	C10orf129	bA310E22.3	10q23.33
ACSS1	acyl-CoA synthetase short-chain family member 1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	20p11.23-p11.21
ACSS2	acyl-CoA synthetase short-chain family member 2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	20q11.22
ACSS3	acyl-CoA synthetase short-chain family member 3		FLJ21963	12q21.31
ACTA1	actin, alpha 1, skeletal muscle	ACTA	NEM3	1q42.13
ACTA2	actin, alpha 2, smooth muscle, aorta		ACTSA	10q23.31
ACTA2-AS1	ACTA2 antisense RNA 1		uc001kfo.1, ZXF1	10q23.31
ACTA3~withdrawn	symbol withdrawn, see ACTG2			
ACTB	actin, beta			7p22
ACTBL2	actin, beta-like 2		DKFZp686D0972	5q11.2
ACTBP1	actin, beta pseudogene 1			Xp11.3
ACTBP2	actin, beta pseudogene 2			5q14.1
ACTBP3	actin, beta pseudogene 3			18q21.33
ACTBP4	actin, beta pseudogene 4			5q23.3
ACTBP5~withdrawn	entry withdrawn			
ACTBP6	actin, beta pseudogene 6			8q21
ACTBP7	actin, beta pseudogene 7			15q15.3
ACTBP8	actin, beta pseudogene 8		ACTBP2	6q15
ACTBP9	actin, beta pseudogene 9			18q21.33
ACTBP10	actin, beta pseudogene 10			14q11.2
ACTBP11	actin, beta pseudogene 11			1q41
ACTBP12	actin, beta pseudogene 12	ACTGP5		1p22
ACTBP13	actin, beta pseudogene 13			3p21.31
ACTBP14	actin, beta pseudogene 14			10q22.1
ACTC1	actin, alpha, cardiac muscle 1	ACTC	CMD1R	15q14
ACTG1	actin, gamma 1	ACTG, DFNA20, DFNA26		17q25
ACTG1P1	actin, gamma 1 pseudogene 1	ACTGP1, ACT1GP1		3q23
ACTG1P2	actin, gamma 1 pseudogene 2	ACTL2, ACTGP2		Yq11
ACTG1P3	actin, gamma 1 pseudogene 3	ACTGP3		20p13
ACTG1P4	actin, gamma 1 pseudogene 4	ACTGP4		1p21
ACTG1P6	actin, gamma 1 pseudogene 6	ACTGP6		1p21
ACTG1P7	actin, gamma 1 pseudogene 7	ACTGP7		1p21
ACTG1P8	actin, gamma 1 pseudogene 8	ACTGP8		1p21
ACTG1P9	actin, gamma 1 pseudogene 9	ACTGP9		6p
ACTG1P10	actin, gamma 1 pseudogene 10	ACTL1, ACTGP10		Xp11.22
ACTG1P11	actin, gamma 1 pseudogene 11			Yq11.221
ACTG1P12	actin, gamma 1 pseudogene 12			3p25.2
ACTG1P13	actin, gamma 1 pseudogene 13			3q12.1
ACTG1P14	actin, gamma 1 pseudogene 14			9p24.1
ACTG2	actin, gamma 2, smooth muscle, enteric	ACTL3, ACTA3	ACTSG	2p13.1
ACTL2~withdrawn	symbol withdrawn, see ACTG1P2			
ACTL3~withdrawn	symbol withdrawn, see ACTG2			
ACTL4~withdrawn	entry withdrawn			
ACTL5~withdrawn	entry withdrawn			
ACTL6A	actin-like 6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	3q26.33
ACTL6B	actin-like 6B	ACTL6	BAF53B	7q22
ACTL7A	actin-like 7A			9q31
ACTL7B	actin-like 7B		Tact1	9q31
ACTL8	actin-like 8		CT57	1p36.2-p35
ACTL9	actin-like 9		MGC33407	19p13.2
ACTL10	actin-like 10	C20orf134		20q11.22
ACTN1	actinin, alpha 1			14q24.1
ACTN1-AS1	ACTN1 antisense RNA 1	C14orf84		14q24.1
ACTN2	actinin, alpha 2			1q42-q43
ACTN3	actinin, alpha 3 (gene/pseudogene)			11q13.2
ACTN4	actinin, alpha 4	FSGS1		19q13
ACTN4P1	actinin, alpha 4 pseudogene 1			4q26
ACTN4P2	actinin, alpha 4 pseudogene 2			1p34.3
ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)		ARP1	10q24
ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	CTRN2		2q11.1-q11.2
ACTR2	ARP2 actin-related protein 2 homolog (yeast)		ARP2	2p14
ACTR3	ARP3 actin-related protein 3 homolog (yeast)		ARP3	2q14.1
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)		ARP11, ARP3beta	7q36.1
ACTR3BP1	ACTR3B pseudogene 1			Yq11.21
ACTR3BP2	ACTR3B pseudogene 2		FKSG73	2p11.1
ACTR3BP3	ACTR3B pseudogene 3			16p11.2
ACTR3BP4	ACTR3B pseudogene 4			4q24
